PID,POI1,POI2,POI3,POI4,POI5,POI6,POI7,POI8,POI9,POI10,POI11,POI12,POI13,POI14,POI15,POI16,POI17,POI18,POI19,POI20,POI21,POI22,POI23,POI24,POI25,POI26,POI27,POI28,POI29,POI30,POI31,POI32,POI33,POI34,POI35,POI36,POI37,POI38,POI39,POI40,POI41,POI42,POI43,POI44,POI45,POI46,POI47,POI48,POI49,POI50,POI51,POI52,POI53,POI54,POI55,POI56,POI57,POI58,POI59,POI60,POI61,POI62,POI63,POI64,POI65,POI66,POI67,POI68,POI69,POI70,POI71,POI72,POI73,POI74,POI75,POI76,POI77
POI1,0,1.99,2.73,11.18,0.61,7.28,10.57,18.52,33.52,13.66,1.1,32.7,7.55,4.42,3.31,23.76,10.57,4.23,6.24,2.61,24.89,11.84,8.62,33.52,0.64,24.66,24.41,13.83,25.63,14.42,2.99,26.85,3.48,6.12,1.15,72.6,39.73,2.5,3.3,1.52,18.92,16.66,0.7,39.73,10.75,7.07,23.2,4.62,13.8,33.52,24.89,4.73,13.83,33.52,4.58,4.58,7.07,9.1,14.7,19.44,24.89,14.36,7.75,1.23,8.03,24.89,11.84,3.3,23.2,1.14,15.9,29.79,19.44,23.2,10.56,14.42,4.23
POI2,1.99,0,1.32,10.44,1.47,5.52,8.58,16.54,31.57,11.7,2.89,30.75,5.59,2.87,1.33,21.77,8.58,2.81,4.64,1.26,22.99,9.84,6.7,31.57,1.52,22.67,22.43,11.86,23.74,12.45,1.0,24.87,1.51,4.13,0.86,71.91,37.86,1.21,1.31,0.58,16.95,14.92,1.41,37.86,8.77,5.24,21.29,2.85,11.81,31.57,22.99,3.08,11.86,31.57,3.25,3.25,5.24,7.27,12.73,17.46,22.99,12.36,5.87,0.9,6.08,22.99,9.84,1.31,21.29,2.95,13.91,30.0,17.46,21.29,8.58,12.45,2.81
POI3,2.73,1.32,0,11.53,2.13,4.55,8.18,16.03,31.43,11.08,3.27,30.64,5.04,1.7,1.29,21.39,8.18,1.55,3.52,0.12,23.02,9.47,5.98,31.43,2.1,22.2,21.9,11.26,22.93,11.87,1.46,24.64,1.35,3.77,1.72,72.95,37.92,0.24,1.42,1.34,16.75,15.24,2.03,37.92,8.57,4.37,21.3,3.45,11.53,31.43,23.02,2.0,11.26,31.43,1.96,1.96,4.37,6.4,12.54,17.18,23.02,11.99,5.08,1.53,5.5,23.02,9.47,1.42,21.3,3.32,13.46,31.3,17.18,21.3,8.1,11.87,1.55
POI4,11.18,10.44,11.53,0,11.19,13.06,11.81,17.77,28.04,14.91,12.22,27.07,11.37,12.23,10.42,21.04,11.81,12.46,13.19,11.54,18.88,12.21,12.57,28.04,11.31,22.6,22.88,14.92,26.39,15.21,10.1,22.58,10.48,10.46,10.82,61.48,32.55,11.53,10.26,10.87,15.65,10.08,11.22,32.55,10.69,12.5,17.6,8.38,12.7,28.04,18.88,12.15,14.92,28.04,12.88,12.88,12.5,13.61,12.53,16.62,18.88,13.68,12.52,11.06,11.67,18.88,12.21,10.26,17.6,12.25,15.27,21.0,16.62,17.6,12.2,15.21,12.46
POI5,0.61,1.47,2.13,11.19,0,6.67,10.02,17.96,33.04,13.07,1.43,32.22,6.97,3.82,2.75,23.22,10.02,3.63,5.63,2.01,24.45,11.29,8.02,33.04,0.12,24.11,23.84,13.25,25.03,13.84,2.47,26.34,2.91,5.56,0.62,72.65,39.31,1.89,2.76,0.95,18.42,16.31,0.1,39.31,10.24,6.46,22.75,4.23,13.27,33.04,24.45,4.12,13.25,33.04,3.99,3.99,6.46,8.5,14.2,18.92,24.45,13.81,7.15,0.64,7.45,24.45,11.29,2.76,22.75,1.48,15.35,30.1,18.92,22.75,10.0,13.84,3.63
POI6,7.28,5.52,4.55,13.06,6.67,0,4.67,11.88,27.92,6.85,7.76,27.19,2.03,2.9,4.29,17.44,4.67,3.2,1.31,4.67,20.03,5.91,1.9,27.92,6.65,18.07,17.67,7.06,18.4,7.68,4.77,20.98,4.11,2.61,6.2,73.37,34.85,4.79,4.39,5.81,13.28,13.38,6.58,34.85,5.65,0.57,18.27,5.16,8.06,27.92,20.03,2.57,7.06,27.92,3.04,3.04,0.57,1.9,9.3,13.53,20.03,8.26,1.0,6.05,2.09,20.03,5.91,4.39,18.27,7.82,9.5,33.85,13.53,18.27,4.4,7.68,3.2
POI7,10.57,8.58,8.18,11.81,10.02,4.67,0,7.98,23.39,3.44,11.37,22.63,3.17,6.94,7.27,13.22,0.0,7.33,5.9,8.29,15.36,1.3,2.79,23.39,10.05,14.09,13.86,3.54,15.71,4.05,7.6,16.52,7.11,4.46,9.43,69.97,30.2,8.4,7.27,9.08,8.7,9.11,9.95,30.2,1.39,4.38,13.6,6.58,3.44,23.39,15.36,6.57,3.54,23.39,7.35,7.35,4.38,3.39,4.63,9.04,15.36,3.81,3.68,9.39,2.78,15.36,1.3,7.27,13.6,11.42,5.33,32.74,9.04,13.6,0.46,4.05,7.33
POI8,18.52,16.54,16.03,17.77,17.96,11.88,7.98,0,16.62,5.03,19.27,16.03,11.0,14.61,15.22,5.69,7.98,14.97,13.19,16.15,10.54,6.78,10.11,16.62,17.98,6.19,5.89,4.83,8.65,4.2,15.56,9.62,15.05,12.41,17.38,69.89,24.21,16.26,15.23,17.01,4.14,9.96,17.88,24.21,8.16,11.83,8.99,14.51,5.27,16.62,10.54,14.24,4.83,16.62,14.88,14.88,11.83,10.02,5.24,3.38,10.54,4.41,11.08,17.32,10.53,10.54,6.78,15.23,8.99,19.33,2.72,37.54,3.38,8.99,7.96,4.2,14.97
POI9,33.52,31.57,31.43,28.04,33.04,27.92,23.39,16.62,0,21.36,34.46,1.01,26.55,30.32,30.36,11.02,23.39,30.71,29.21,31.54,9.16,22.09,26.03,0.0,33.09,11.39,12.4,21.13,16.89,20.53,30.58,7.01,30.23,27.67,32.43,61.63,8.18,31.64,30.32,32.13,14.7,18.07,32.98,8.18,22.87,27.73,10.59,28.97,19.96,0.0,9.16,29.95,21.13,0.0,30.74,30.74,27.73,26.21,18.89,14.39,9.16,19.66,26.99,32.45,26.17,9.16,22.09,30.32,10.59,34.51,18.51,41.98,14.39,10.59,23.57,20.53,30.71
POI10,13.66,11.7,11.08,14.91,13.07,6.85,3.44,5.03,21.36,0,14.34,20.69,6.11,9.61,10.36,10.65,3.44,9.96,8.15,11.2,14.18,2.7,5.12,21.36,13.08,11.22,10.84,0.23,12.28,0.84,10.74,14.36,10.19,7.6,12.51,71.24,28.64,11.32,10.39,12.14,7.14,10.02,12.99,28.64,4.26,6.82,12.45,9.96,3.11,21.36,14.18,9.24,0.23,21.36,9.86,9.86,6.82,4.99,4.33,7.09,14.18,2.46,6.07,12.44,5.62,14.18,2.7,10.39,12.45,14.4,2.88,35.64,7.09,12.45,3.25,0.84,9.96
POI11,1.1,2.89,3.27,12.22,1.43,7.76,11.37,19.27,34.46,14.34,0,33.64,8.27,4.86,4.12,24.58,11.37,4.59,6.62,3.14,25.88,12.65,9.25,34.46,1.37,25.44,25.15,14.52,26.17,15.13,3.88,27.74,4.27,6.91,2.05,73.59,40.74,3.03,4.15,2.34,19.82,17.72,1.48,40.74,11.64,7.62,24.18,5.65,14.66,34.46,25.88,5.2,14.52,34.46,4.87,4.87,7.62,9.64,15.6,20.31,25.88,15.17,8.34,2.01,8.74,25.88,12.65,4.15,24.18,0.06,16.68,30.5,20.31,24.18,11.32,15.13,4.59
POI12,32.7,30.75,30.64,27.07,32.22,27.19,22.63,16.03,1.01,20.69,33.64,0,25.78,29.55,29.56,10.51,22.63,29.95,28.48,30.75,8.21,21.34,25.3,1.01,32.27,11.03,12.08,20.46,16.8,19.87,29.76,6.41,29.42,26.88,31.61,61.14,8.42,30.85,29.51,31.31,13.94,17.12,32.16,8.42,22.07,26.99,9.67,28.13,19.2,1.01,8.21,29.19,20.46,1.01,29.98,29.98,26.99,25.51,18.1,13.68,8.21,18.93,26.25,31.63,25.41,8.21,21.34,29.51,9.67,33.7,17.83,40.98,13.68,9.67,22.83,19.87,29.95
POI13,7.55,5.59,5.04,11.37,6.97,2.03,3.17,11.0,26.55,6.11,8.27,25.78,0,3.77,4.25,16.36,3.17,4.17,2.97,5.16,18.39,4.47,1.35,26.55,6.99,17.17,16.88,6.28,18.23,6.87,4.64,19.69,4.08,1.53,6.4,71.36,33.27,5.27,4.28,6.03,11.85,11.42,6.89,33.27,3.84,1.53,16.64,4.18,6.59,26.55,18.39,3.4,6.28,26.55,4.21,4.21,1.53,2.31,7.71,12.21,18.39,6.98,1.2,6.33,0.5,18.39,4.47,4.28,16.64,8.33,8.43,32.3,12.21,16.64,3.07,6.87,4.17
POI14,4.42,2.87,1.7,12.23,3.82,2.9,6.94,14.61,30.32,9.61,4.86,29.55,3.77,0,1.98,20.07,6.94,0.4,1.82,1.81,22.11,8.24,4.5,30.32,3.79,20.8,20.45,9.8,21.31,10.42,2.44,23.46,1.85,2.87,3.41,73.4,37.0,1.93,2.13,3.02,15.62,14.71,3.72,37.0,7.54,2.8,20.36,3.85,10.36,30.32,22.11,0.37,9.8,30.32,0.68,0.68,2.8,4.79,11.47,15.98,22.11,10.73,3.55,3.23,4.17,22.11,8.24,2.13,20.36,4.92,12.12,32.46,15.98,20.36,6.8,10.42,0.4
POI15,3.31,1.33,1.29,10.42,2.75,4.29,7.27,15.22,30.36,10.36,4.12,29.56,4.25,1.98,0,20.47,7.27,2.1,3.57,1.36,21.87,8.54,5.38,30.36,2.78,21.36,21.1,10.53,22.42,11.12,0.49,23.63,0.19,2.81,2.16,71.76,36.75,1.42,0.16,1.8,15.71,13.98,2.67,36.75,7.52,3.96,20.15,2.18,10.54,30.36,21.87,2.07,10.53,30.36,2.55,2.55,3.96,5.98,11.49,16.19,21.87,11.07,4.57,2.12,4.75,21.87,8.54,0.16,20.15,4.17,12.6,30.49,16.19,20.15,7.26,11.12,2.1
POI16,23.76,21.77,21.39,21.04,23.22,17.44,13.22,5.69,11.02,10.65,24.58,10.51,16.36,20.07,20.47,0,13.22,20.45,18.75,21.51,7.06,11.93,15.62,11.02,23.25,1.88,2.81,10.43,8.4,9.81,20.77,4.16,20.31,17.67,22.62,67.47,18.85,21.62,20.46,22.28,5.41,11.48,23.15,18.85,13.05,17.34,6.25,19.47,9.99,11.02,7.06,19.7,10.43,11.02,20.4,20.4,17.34,15.63,9.29,4.54,7.06,9.41,16.59,22.59,15.92,7.06,11.93,20.46,6.25,24.64,7.96,39.14,4.54,6.25,13.3,9.81,20.45
POI17,10.57,8.58,8.18,11.81,10.02,4.67,0.0,7.98,23.39,3.44,11.37,22.63,3.17,6.94,7.27,13.22,0,7.33,5.9,8.29,15.36,1.3,2.79,23.39,10.05,14.09,13.86,3.54,15.71,4.05,7.6,16.52,7.11,4.46,9.43,69.97,30.2,8.4,7.27,9.08,8.7,9.11,9.95,30.2,1.39,4.38,13.6,6.58,3.44,23.39,15.36,6.57,3.54,23.39,7.35,7.35,4.38,3.39,4.63,9.04,15.36,3.81,3.68,9.39,2.78,15.36,1.3,7.27,13.6,11.42,5.33,32.74,9.04,13.6,0.46,4.05,7.33
POI18,4.23,2.81,1.55,12.46,3.63,3.2,7.33,14.97,30.71,9.96,4.59,29.95,4.17,0.4,2.1,20.45,7.33,0,2.03,1.66,22.51,8.63,4.86,30.71,3.59,21.17,20.8,10.16,21.6,10.78,2.53,23.85,2.0,3.27,3.27,73.69,37.4,1.76,2.26,2.89,16.01,15.11,3.53,37.4,7.94,3.15,20.76,4.1,10.76,30.71,22.51,0.76,10.16,30.71,0.45,0.45,3.15,5.1,11.87,16.37,22.51,11.11,3.9,3.06,4.55,22.51,8.63,2.26,20.76,4.64,12.49,32.59,16.37,20.76,7.18,10.78,0.0
POI19,6.24,4.64,3.52,13.19,5.63,1.31,5.9,13.19,29.21,8.15,6.62,28.48,2.97,1.82,3.57,18.75,5.9,2.03,0,3.63,21.26,7.17,3.18,29.21,5.6,19.38,18.96,8.36,19.59,8.99,4.06,22.28,3.4,2.89,5.22,73.94,36.1,3.74,3.7,4.84,14.56,14.38,5.54,36.1,6.77,1.52,19.5,4.95,9.32,29.21,21.26,1.56,8.36,29.21,1.78,1.78,1.52,3.19,10.53,14.82,21.26,9.55,2.23,5.04,3.19,21.26,7.17,3.7,19.5,6.67,10.81,33.77,14.82,19.5,5.66,8.99,2.03
POI20,2.61,1.26,0.12,11.54,2.01,4.67,8.29,16.15,31.54,11.2,3.14,30.75,5.16,1.81,1.36,21.51,8.29,1.66,3.63,0,23.12,9.59,6.11,31.54,1.98,22.32,22.02,11.39,23.06,11.99,1.48,24.76,1.43,3.88,1.61,72.96,38.02,0.12,1.48,1.24,16.86,15.32,1.91,38.02,8.68,4.49,21.4,3.5,11.64,31.54,23.12,2.12,11.39,31.54,2.06,2.06,4.49,6.52,12.66,17.3,23.12,12.11,5.2,1.41,5.62,23.12,9.59,1.48,21.4,3.2,13.58,31.26,17.3,21.4,8.22,11.99,1.66
POI21,24.89,22.99,23.02,18.88,24.45,20.03,15.36,10.54,9.16,14.18,25.88,8.21,18.39,22.11,21.87,7.06,15.36,22.51,21.26,23.12,0,14.13,18.14,9.16,24.51,8.77,9.83,13.95,15.45,13.45,22.02,4.98,21.75,19.31,23.83,60.42,14.9,23.21,21.8,23.56,7.05,8.92,24.4,14.9,14.57,19.74,1.76,20.27,12.0,9.16,0.0,21.75,13.95,9.16,22.6,22.6,19.74,18.54,10.73,7.31,0.0,12.0,19.04,23.89,18.09,0.0,14.13,21.8,1.76,25.93,11.36,34.16,7.31,1.76,15.64,13.45,22.51
POI22,11.84,9.84,9.47,12.21,11.29,5.91,1.3,6.78,22.09,2.7,12.65,21.34,4.47,8.24,8.54,11.93,1.3,8.63,7.17,9.59,14.13,0,4.02,22.09,11.32,12.84,12.65,2.73,14.76,3.11,8.85,15.22,8.38,5.74,10.69,69.42,28.94,9.69,8.54,10.35,7.4,8.32,11.22,28.94,1.56,5.66,12.37,7.73,2.15,22.09,14.13,7.87,2.73,22.09,8.65,8.65,5.66,4.46,3.41,7.74,14.13,2.52,4.94,10.66,4.08,14.13,0.0,8.54,12.37,12.7,4.09,32.99,7.74,12.37,1.51,3.11,8.63
POI23,8.62,6.7,5.98,12.57,8.02,1.9,2.79,10.11,26.03,5.12,9.25,25.3,1.35,4.5,5.38,15.62,2.79,4.86,3.18,6.11,18.14,4.02,0,26.03,8.02,16.31,15.95,5.31,17.04,5.92,5.81,19.11,5.2,2.83,7.48,72.13,32.95,6.22,5.43,7.1,11.39,11.71,7.93,32.95,3.88,1.72,16.38,5.52,6.17,26.03,18.14,4.13,5.31,26.03,4.78,4.78,1.72,1.04,7.41,11.65,18.14,6.37,0.97,7.38,0.92,18.14,4.02,5.43,16.38,9.31,7.66,33.55,11.65,16.38,2.5,5.92,4.86
POI24,33.52,31.57,31.43,28.04,33.04,27.92,23.39,16.62,0.0,21.36,34.46,1.01,26.55,30.32,30.36,11.02,23.39,30.71,29.21,31.54,9.16,22.09,26.03,0,33.09,11.39,12.4,21.13,16.89,20.53,30.58,7.01,30.23,27.67,32.43,61.63,8.18,31.64,30.32,32.13,14.7,18.07,32.98,8.18,22.87,27.73,10.59,28.97,19.96,0.0,9.16,29.95,21.13,0.0,30.74,30.74,27.73,26.21,18.89,14.39,9.16,19.66,26.99,32.45,26.17,9.16,22.09,30.32,10.59,34.51,18.51,41.98,14.39,10.59,23.57,20.53,30.71
POI25,0.64,1.52,2.1,11.31,0.12,6.65,10.05,17.98,33.09,13.08,1.37,32.27,6.99,3.79,2.78,23.25,10.05,3.59,5.6,1.98,24.51,11.32,8.02,33.09,0,24.13,23.86,13.26,25.02,13.86,2.51,26.39,2.94,5.59,0.68,72.77,39.37,1.86,2.79,0.98,18.46,16.39,0.11,39.37,10.28,6.45,22.81,4.3,13.31,33.09,24.51,4.09,13.26,33.09,3.94,3.94,6.45,8.49,14.24,18.96,24.51,13.84,7.14,0.66,7.47,24.51,11.32,2.79,22.81,1.42,15.37,30.21,18.96,22.81,10.02,13.86,3.59
POI26,24.66,22.67,22.2,22.6,24.11,18.07,14.09,6.19,11.39,11.22,25.44,11.03,17.17,20.8,21.36,1.88,14.09,21.17,19.38,22.32,8.77,12.84,16.31,11.39,24.13,0,1.14,11.02,6.72,10.4,21.69,5.08,21.19,18.55,23.52,69.12,19.45,22.43,21.36,23.16,6.96,13.23,24.03,19.45,14.09,18.02,8.09,20.52,11.05,11.39,8.77,20.43,11.02,11.39,21.08,21.08,18.02,16.21,10.53,5.98,8.77,10.35,17.27,23.47,16.71,8.77,12.84,21.36,8.09,25.49,8.76,40.97,5.98,8.09,14.11,10.4,21.17
POI27,24.41,22.43,21.9,22.88,23.84,17.67,13.86,5.89,12.4,10.84,25.15,12.08,16.88,20.45,21.1,2.81,13.86,20.8,18.96,22.02,9.83,12.65,15.95,12.4,23.86,1.14,0,10.64,5.63,10.03,21.45,6.21,20.93,18.3,23.26,70.21,20.5,22.13,21.11,22.9,7.35,13.75,23.76,20.5,13.98,17.65,9.06,20.37,10.98,12.4,9.83,20.08,10.64,12.4,20.69,20.69,17.65,15.78,10.6,6.31,9.83,10.21,16.9,23.21,16.4,9.83,12.65,21.11,9.06,25.2,8.56,41.58,6.31,9.06,13.85,10.03,20.8
POI28,13.83,11.86,11.26,14.92,13.25,7.06,3.54,4.83,21.13,0.23,14.52,20.46,6.28,9.8,10.53,10.43,3.54,10.16,8.36,11.39,13.95,2.73,5.31,21.13,13.26,11.02,10.64,0,12.17,0.62,10.91,14.13,10.36,7.75,12.68,71.08,28.41,11.5,10.56,12.31,6.91,9.87,13.16,28.41,4.29,7.01,12.22,10.09,2.96,21.13,13.95,9.44,0.0,21.13,10.06,10.06,7.01,5.21,4.16,6.86,13.95,2.27,6.26,12.61,5.79,13.95,2.73,10.56,12.22,14.58,2.65,35.61,6.86,12.22,3.38,0.62,10.16
POI29,25.63,23.74,22.93,26.39,25.03,18.4,15.71,8.65,16.89,12.28,26.17,16.8,18.23,21.31,22.42,8.4,15.71,21.6,19.59,23.06,15.45,14.76,17.04,16.89,25.02,6.72,5.63,12.17,0,11.68,22.84,11.61,22.24,19.75,24.51,75.84,25.06,23.17,22.47,24.12,11.86,18.28,24.93,25.06,16.3,18.57,14.61,22.22,13.73,16.89,15.45,20.97,12.17,16.89,21.37,21.37,18.57,16.53,13.88,10.79,15.45,12.78,17.88,24.39,17.73,15.45,14.76,22.47,14.61,26.22,11.14,46.09,10.79,14.61,15.53,11.68,21.6
POI30,14.42,12.45,11.87,15.21,13.84,7.68,4.05,4.2,20.53,0.84,15.13,19.87,6.87,10.42,11.12,9.81,4.05,10.78,8.99,11.99,13.45,3.11,5.92,20.53,13.86,10.4,10.03,0.62,11.68,0,11.49,13.53,10.95,8.34,13.28,70.88,27.84,12.1,11.14,12.9,6.4,9.72,13.76,27.84,4.67,7.63,11.73,10.63,2.91,20.53,13.45,10.05,0.62,20.53,10.68,10.68,7.63,5.83,3.98,6.3,13.45,2.07,6.88,13.21,6.39,13.45,3.11,11.14,11.73,15.18,2.1,35.81,6.3,11.73,3.93,0.0,10.78
POI31,2.99,1.0,1.46,10.1,2.47,4.77,7.6,15.56,30.58,10.74,3.88,29.76,4.64,2.44,0.49,20.77,7.6,2.53,4.06,1.48,22.02,8.85,5.81,30.58,2.51,21.69,21.45,10.91,22.84,11.49,0,23.87,0.67,3.16,1.86,71.5,36.9,1.51,0.39,1.55,15.95,14.02,2.4,36.9,7.77,4.43,20.32,2.04,10.81,30.58,22.02,2.55,10.91,30.58,2.98,2.98,4.43,6.43,11.73,16.46,22.02,11.37,5.02,1.87,5.14,22.02,8.85,0.39,20.32,3.93,12.92,30.06,16.46,20.32,7.6,11.49,2.53
POI32,26.85,24.87,24.64,22.58,26.34,20.98,16.52,9.62,7.01,14.36,27.74,6.41,19.69,23.46,23.63,4.16,16.52,23.85,22.28,24.76,4.98,15.22,19.11,7.01,26.39,5.08,6.21,14.13,11.61,13.53,23.87,0,23.48,20.88,25.73,64.44,14.7,24.86,23.6,25.41,7.93,12.54,26.28,14.7,16.11,20.81,5.33,22.38,13.12,7.01,4.98,23.09,14.13,7.01,23.85,23.85,20.81,19.25,12.15,7.48,4.98,12.74,20.07,25.73,19.29,4.98,15.22,23.6,5.33,27.8,11.52,39.02,7.48,5.33,16.67,13.53,23.85
POI33,3.48,1.51,1.35,10.48,2.91,4.11,7.11,15.05,30.23,10.19,4.27,29.42,4.08,1.85,0.19,20.31,7.11,2.0,3.4,1.43,21.75,8.38,5.2,30.23,2.94,21.19,20.93,10.36,22.24,10.95,0.67,23.48,0,2.65,2.33,71.8,36.63,1.5,0.29,1.97,15.56,13.89,2.84,36.63,7.37,3.78,20.03,2.19,10.39,30.23,21.75,1.92,10.36,30.23,2.44,2.44,3.78,5.79,11.35,16.04,21.75,10.9,4.39,2.28,4.57,21.75,8.38,0.29,20.03,4.33,12.43,30.61,16.04,20.03,7.09,10.95,2.0
POI34,6.12,4.13,3.77,10.46,5.56,2.61,4.46,12.41,27.67,7.6,6.91,26.88,1.53,2.87,2.81,17.67,4.46,3.27,2.89,3.88,19.31,5.74,2.83,27.67,5.59,18.55,18.3,7.75,19.75,8.34,3.16,20.88,2.65,0,4.97,71.05,34.21,3.98,2.82,4.62,12.98,11.85,5.48,34.21,4.8,2.06,17.58,2.72,7.77,27.67,19.31,2.55,7.75,27.67,3.46,3.46,2.06,3.67,8.78,13.42,19.31,8.26,2.29,4.93,2.03,19.31,5.74,2.82,17.58,6.97,9.79,31.24,13.42,17.58,4.45,8.34,3.27
POI35,1.15,0.86,1.72,10.82,0.62,6.2,9.43,17.38,32.43,12.51,2.05,31.61,6.4,3.41,2.16,22.62,9.43,3.27,5.22,1.61,23.83,10.69,7.48,32.43,0.68,23.52,23.26,12.68,24.51,13.28,1.86,25.73,2.33,4.97,0,72.3,38.69,1.51,2.16,0.39,17.8,15.71,0.57,38.69,9.63,5.96,22.14,3.63,12.67,32.43,23.83,3.68,12.68,32.43,3.66,3.66,5.96,8.0,13.58,18.31,23.83,13.21,6.63,0.27,6.89,23.83,10.69,2.16,22.14,2.1,14.76,30.01,18.31,22.14,9.42,13.28,3.27
POI36,72.6,71.91,72.95,61.48,72.65,73.37,69.97,69.89,61.63,71.24,73.59,61.14,71.36,73.4,71.76,67.47,69.97,73.69,73.94,72.96,60.42,69.42,72.13,61.63,72.77,69.12,70.21,71.08,75.84,70.88,71.5,64.44,71.8,71.05,72.3,0,55.64,72.97,71.61,72.36,65.75,61.23,72.69,55.64,68.59,72.82,61.47,69.61,68.14,61.63,60.42,73.24,71.08,61.63,74.07,74.07,72.82,73.08,66.92,66.56,60.42,68.83,72.54,72.54,71.45,60.42,69.42,71.61,61.47,73.61,69.31,47.32,66.56,61.47,70.43,70.88,73.69
POI37,39.73,37.86,37.92,32.55,39.31,34.85,30.2,24.21,8.18,28.64,40.74,8.42,33.27,37.0,36.75,18.85,30.2,37.4,36.1,38.02,14.9,28.94,32.95,8.18,39.37,19.45,20.5,28.41,25.06,27.84,36.9,14.7,36.63,34.21,38.69,55.64,0,38.11,36.69,38.43,21.61,23.31,39.26,0.0,29.46,34.58,16.63,35.11,26.79,8.18,14.9,36.64,28.41,8.18,37.48,37.48,34.58,33.28,25.57,21.55,14.9,26.67,33.87,38.76,32.95,14.9,28.94,36.69,16.63,40.79,25.76,42.8,21.55,16.63,30.45,27.84,37.4
POI38,2.5,1.21,0.24,11.53,1.89,4.79,8.4,16.26,31.64,11.32,3.03,30.85,5.27,1.93,1.42,21.62,8.4,1.76,3.74,0.12,23.21,9.69,6.22,31.64,1.86,22.43,22.13,11.5,23.17,12.1,1.51,24.86,1.5,3.98,1.51,72.97,38.11,0,1.53,1.14,16.96,15.39,1.79,38.11,8.78,4.61,21.49,3.53,11.74,31.64,23.21,2.23,11.5,31.64,2.15,2.15,4.61,6.64,12.75,17.4,23.21,12.21,5.31,1.31,5.73,23.21,9.69,1.53,21.49,3.08,13.69,31.21,17.4,21.49,8.33,12.1,1.76
POI39,3.3,1.31,1.42,10.26,2.76,4.39,7.27,15.23,30.32,10.39,4.15,29.51,4.28,2.13,0.16,20.46,7.27,2.26,3.7,1.48,21.8,8.54,5.43,30.32,2.79,21.36,21.11,10.56,22.47,11.14,0.39,23.6,0.29,2.82,2.16,71.61,36.69,1.53,0,1.82,15.67,13.88,2.69,36.69,7.49,4.05,20.09,2.04,10.52,30.32,21.8,2.21,10.56,30.32,2.7,2.7,4.05,6.05,11.46,16.17,21.8,11.06,4.64,2.14,4.78,21.8,8.54,0.0,20.09,4.2,12.6,30.34,16.17,20.09,7.27,11.14,2.26
POI40,1.52,0.58,1.34,10.87,0.95,5.81,9.08,17.01,32.13,12.14,2.34,31.31,6.03,3.02,1.8,22.28,9.08,2.89,4.84,1.24,23.56,10.35,7.1,32.13,0.98,23.16,22.9,12.31,24.12,12.9,1.55,25.41,1.97,4.62,0.39,72.36,38.43,1.14,1.82,0,17.49,15.5,0.87,38.43,9.3,5.57,21.86,3.43,12.33,32.13,23.56,3.29,12.31,32.13,3.29,3.29,5.57,7.61,13.27,17.99,23.56,12.87,6.24,0.33,6.52,23.56,10.35,1.82,21.86,2.39,14.4,30.23,17.99,21.86,9.05,12.9,2.89
POI41,18.92,16.95,16.75,15.65,18.42,13.28,8.7,4.14,14.7,7.14,19.82,13.94,11.85,15.62,15.71,5.41,8.7,16.01,14.56,16.86,7.05,7.4,11.39,14.7,18.46,6.96,7.35,6.91,11.86,6.4,15.95,7.93,15.56,12.98,17.8,65.75,21.61,16.96,15.67,17.49,0,6.47,18.35,21.61,8.19,13.06,5.33,14.46,5.26,14.7,7.05,15.25,6.91,14.7,16.04,16.04,13.06,11.67,4.22,1.07,7.05,5.06,12.33,17.81,11.48,7.05,7.4,15.67,5.33,19.88,4.32,34.36,1.07,5.33,8.9,6.4,16.01
POI42,16.66,14.92,15.24,10.08,16.31,13.38,9.11,9.96,18.07,10.02,17.72,17.12,11.42,14.71,13.98,11.48,9.11,15.11,14.38,15.32,8.92,8.32,11.71,18.07,16.39,13.23,13.75,9.87,18.28,9.72,14.02,12.54,13.89,11.85,15.71,61.23,23.31,15.39,13.88,15.5,6.47,0,16.27,23.31,7.84,12.93,7.54,12.08,6.92,18.07,8.92,14.41,9.87,18.07,15.31,15.31,12.93,12.47,5.75,7.55,8.92,7.65,12.4,15.81,11.29,8.92,8.32,13.88,7.54,17.77,8.43,27.88,7.55,7.54,9.54,9.72,15.11
POI43,0.7,1.41,2.03,11.22,0.1,6.58,9.95,17.88,32.98,12.99,1.48,32.16,6.89,3.72,2.67,23.15,9.95,3.53,5.54,1.91,24.4,11.22,7.93,32.98,0.11,24.03,23.76,13.16,24.93,13.76,2.4,26.28,2.84,5.48,0.57,72.69,39.26,1.79,2.69,0.87,18.35,16.27,0,39.26,10.17,6.37,22.7,4.19,13.2,32.98,24.4,4.02,13.16,32.98,3.89,3.89,6.37,8.41,14.13,18.85,24.4,13.74,7.06,0.56,7.37,24.4,11.22,2.69,22.7,1.53,15.27,30.17,18.85,22.7,9.92,13.76,3.53
