PID,POI1,POI2,POI3,POI4,POI5,POI6,POI7,POI8,POI9,POI10,POI11,POI12,POI13,POI14,POI15,POI16,POI17,POI18,POI19,POI20,POI21,POI22,POI23,POI24,POI25,POI26,POI27,POI28,POI29,POI30,POI31,POI32,POI33,POI34,POI35,POI36,POI37,POI38,POI39,POI40,POI41,POI42,POI43,POI44,POI45,POI46,POI47,POI48,POI49,POI50,POI51,POI52,POI53,POI54,POI55,POI56,POI57,POI58,POI59,POI60,POI61,POI62,POI63,POI64,POI65,POI66,POI67,POI68,POI69,POI70,POI71,POI72,POI73,POI74,POI75,POI76,POI77
POI54,33.52,31.57,31.43,28.04,33.04,27.92,23.39,16.62,0.0,21.36,34.46,1.01,26.55,30.32,30.36,11.02,23.39,30.71,29.21,31.54,9.16,22.09,26.03,0.0,33.09,11.39,12.4,21.13,16.89,20.53,30.58,7.01,30.23,27.67,32.43,61.63,8.18,31.64,30.32,32.13,14.7,18.07,32.98,8.18,22.87,27.73,10.59,28.97,19.96,0.0,9.16,29.95,21.13,0,30.74,30.74,27.73,26.21,18.89,14.39,9.16,19.66,26.99,32.45,26.17,9.16,22.09,30.32,10.59,34.51,18.51,41.98,14.39,10.59,23.57,20.53,30.71
POI55,4.58,3.25,1.96,12.88,3.99,3.04,7.35,14.88,30.74,9.86,4.87,29.98,4.21,0.68,2.55,20.4,7.35,0.45,1.78,2.06,22.6,8.65,4.78,30.74,3.94,21.08,20.69,10.06,21.37,10.68,2.98,23.85,2.44,3.46,3.66,74.07,37.48,2.15,2.7,3.29,16.04,15.31,3.89,37.48,8.03,3.06,20.85,4.51,10.78,30.74,22.6,0.91,10.06,30.74,0,0.0,3.06,4.94,11.93,16.37,22.6,11.1,3.82,3.45,4.56,22.6,8.65,2.7,20.85,4.92,12.45,33.04,16.37,20.85,7.17,10.68,0.45
POI56,4.58,3.25,1.96,12.88,3.99,3.04,7.35,14.88,30.74,9.86,4.87,29.98,4.21,0.68,2.55,20.4,7.35,0.45,1.78,2.06,22.6,8.65,4.78,30.74,3.94,21.08,20.69,10.06,21.37,10.68,2.98,23.85,2.44,3.46,3.66,74.07,37.48,2.15,2.7,3.29,16.04,15.31,3.89,37.48,8.03,3.06,20.85,4.51,10.78,30.74,22.6,0.91,10.06,30.74,0.0,0,3.06,4.94,11.93,16.37,22.6,11.1,3.82,3.45,4.56,22.6,8.65,2.7,20.85,4.92,12.45,33.04,16.37,20.85,7.17,10.68,0.45
POI57,7.07,5.24,4.37,12.5,6.46,0.57,4.38,11.83,27.73,6.82,7.62,26.99,1.53,2.8,3.96,17.34,4.38,3.15,1.52,4.49,19.74,5.66,1.72,27.73,6.45,18.02,17.65,7.01,18.57,7.63,4.43,20.81,3.78,2.06,5.96,72.82,34.58,4.61,4.05,5.57,13.06,12.93,6.37,34.58,5.27,0.0,17.98,4.66,7.81,27.73,19.74,2.44,7.01,27.73,3.06,3.06,0,2.04,9.01,13.35,19.74,8.07,0.76,5.83,1.68,19.74,5.66,4.05,17.98,7.68,9.39,33.31,13.35,17.98,4.16,7.63,3.15
POI58,9.1,7.27,6.4,13.61,8.5,1.9,3.39,10.02,26.21,4.99,9.64,25.51,2.31,4.79,5.98,15.63,3.39,5.1,3.19,6.52,18.54,4.46,1.04,26.21,8.49,16.21,15.78,5.21,16.53,5.83,6.43,19.25,5.79,3.67,8.0,73.08,33.28,6.64,6.05,7.61,11.67,12.47,8.41,33.28,4.64,2.04,16.78,6.39,6.55,26.21,18.54,4.44,5.21,26.21,4.94,4.94,2.04,0,7.86,11.84,18.54,6.61,1.42,7.87,1.94,18.54,4.46,6.05,16.78,9.7,7.73,34.57,11.84,16.78,3.0,5.83,5.1
POI59,14.7,12.73,12.54,12.53,14.2,9.3,4.63,5.24,18.89,4.33,15.6,18.1,7.71,11.47,11.49,9.29,4.63,11.87,10.53,12.66,10.73,3.41,7.41,18.89,14.24,10.53,10.6,4.16,13.88,3.98,11.73,12.15,11.35,8.78,13.58,66.92,25.57,12.75,11.46,13.27,4.22,5.75,14.13,25.57,3.98,9.01,8.97,10.26,1.36,18.89,10.73,11.11,4.16,18.89,11.93,11.93,9.01,7.86,0,4.8,10.73,1.91,8.31,13.59,7.38,10.73,3.41,11.46,8.97,15.66,2.93,32.5,4.8,8.97,4.91,3.98,11.87
POI60,19.44,17.46,17.18,16.62,18.92,13.53,9.04,3.38,14.39,7.09,20.31,13.68,12.21,15.98,16.19,4.54,9.04,16.37,14.82,17.3,7.31,7.74,11.65,14.39,18.96,5.98,6.31,6.86,10.79,6.3,16.46,7.48,16.04,13.42,18.31,66.56,21.55,17.4,16.17,17.99,1.07,7.55,18.85,21.55,8.69,13.35,5.68,15.06,5.66,14.39,7.31,15.61,6.86,14.39,16.37,16.37,13.35,11.84,4.8,0,7.31,5.28,12.6,18.31,11.82,7.31,7.74,16.17,5.68,20.37,4.21,35.43,0.0,5.68,9.2,6.3,16.37
POI61,24.89,22.99,23.02,18.88,24.45,20.03,15.36,10.54,9.16,14.18,25.88,8.21,18.39,22.11,21.87,7.06,15.36,22.51,21.26,23.12,0.0,14.13,18.14,9.16,24.51,8.77,9.83,13.95,15.45,13.45,22.02,4.98,21.75,19.31,23.83,60.42,14.9,23.21,21.8,23.56,7.05,8.92,24.4,14.9,14.57,19.74,1.76,20.27,12.0,9.16,0.0,21.75,13.95,9.16,22.6,22.6,19.74,18.54,10.73,7.31,0,12.0,19.04,23.89,18.09,0.0,14.13,21.8,1.76,25.93,11.36,34.16,7.31,1.76,15.64,13.45,22.51
POI62,14.36,12.36,11.99,13.68,13.81,8.26,3.81,4.41,19.66,2.46,15.17,18.93,6.98,10.73,11.07,9.41,3.81,11.11,9.55,12.11,12.0,2.52,6.37,19.66,13.84,10.35,10.21,2.27,12.78,2.07,11.37,12.74,10.9,8.26,13.21,68.83,26.67,12.21,11.06,12.87,5.06,7.65,13.74,26.67,3.77,8.07,10.25,10.17,0.99,19.66,12.0,10.36,2.27,19.66,11.1,11.1,8.07,6.61,1.91,5.28,12.0,0,7.33,13.19,6.56,12.0,2.52,11.06,10.25,15.23,1.69,34.02,5.28,10.25,3.93,2.07,11.11
POI63,7.75,5.87,5.08,12.52,7.15,1.0,3.68,11.08,26.99,6.07,8.34,26.25,1.2,3.55,4.57,16.59,3.68,3.9,2.23,5.2,19.04,4.94,0.97,26.99,7.14,17.27,16.9,6.26,17.88,6.88,5.02,20.07,4.39,2.29,6.63,72.54,33.87,5.31,4.64,6.24,12.33,12.4,7.06,33.87,4.64,0.76,17.28,5.0,7.09,26.99,19.04,3.18,6.26,26.99,3.82,3.82,0.76,1.42,8.31,12.6,19.04,7.33,0,6.51,1.12,19.04,4.94,4.64,17.28,8.39,8.63,33.42,12.6,17.28,3.43,6.88,3.9
